Date,Country,Value
6/1/2007,Euro,0.7451
7/1/2007,Euro,0.7285
8/1/2007,Euro,0.7339
9/1/2007,Euro,0.7189
10/1/2007,Euro,0.7026
11/1/2007,Euro,0.6811
12/1/2007,Euro,0.6869
1/1/2008,Euro,0.679
2/1/2008,Euro,0.6776
3/1/2008,Euro,0.6443
4/1/2008,Euro,0.6348
5/1/2008,Euro,0.6429
6/1/2008,Euro,0.6426
7/1/2008,Euro,0.6346
8/1/2008,Euro,0.6687
9/1/2008,Euro,0.6973
10/1/2008,Euro,0.7538
11/1/2008,Euro,0.7847
12/1/2008,Euro,0.7401
1/1/2009,Euro,0.7551
2/1/2009,Euro,0.7814
3/1/2009,Euro,0.7663
4/1/2009,Euro,0.7576
5/1/2009,Euro,0.7328
6/1/2009,Euro,0.7136
7/1/2009,Euro,0.7096
8/1/2009,Euro,0.701
9/1/2009,Euro,0.6861
10/1/2009,Euro,0.6747
11/1/2009,Euro,0.6708
12/1/2009,Euro,0.6859
1/1/2010,Euro,0.701
2/1/2010,Euro,0.731
3/1/2010,Euro,0.7369
4/1/2010,Euro,0.7453
5/1/2010,Euro,0.796
6/1/2010,Euro,0.8181
7/1/2010,Euro,0.7806
8/1/2010,Euro,0.775
9/1/2010,Euro,0.7632
10/1/2010,Euro,0.7194
11/1/2010,Euro,0.7324
12/1/2010,Euro,0.7564
1/1/2011,Euro,0.7479
2/1/2011,Euro,0.7323
3/1/2011,Euro,0.7133
4/1/2011,Euro,0.6916
5/1/2011,Euro,0.6976
6/1/2011,Euro,0.6943
7/1/2011,Euro,0.7005
8/1/2011,Euro,0.6977
9/1/2011,Euro,0.7274
10/1/2011,Euro,0.7282
11/1/2011,Euro,0.7376
12/1/2011,Euro,0.7602
1/1/2012,Euro,0.7746
2/1/2012,Euro,0.7554
3/1/2012,Euro,0.7571
4/1/2012,Euro,0.7599
5/1/2012,Euro,0.7809
6/1/2012,Euro,0.7974
7/1/2012,Euro,0.8145
8/1/2012,Euro,0.8061
9/1/2012,Euro,0.7761
10/1/2012,Euro,0.7708
11/1/2012,Euro,0.779
12/1/2012,Euro,0.7623
1/1/2013,Euro,0.7517
2/1/2013,Euro,0.7492
